aoi,trialnum,layout,target,stimulus,part4,fixations,x1,y1,x2,y2,x3,y3,x4,y4
14x-SOC-ALL,14,SOC,x,ALL,,57,1.140000,1.140000,588.910000,1.140000,588.910000,603.720000,1.140000,603.720000
21C-SOC-COLD,21,SOC,C,COLD,,0,594.060000,602.820000,447.550000,601.260000,445.940000,475.290000,594.060000,472.180000
19C-SOC-SWING,19,SOC,C,SWING,,9,441.060000,284.820000,294.550000,283.260000,292.940000,157.290000,441.060000,154.180000
28C-CORNERS-CLIMBING,28,CORN,C,CLIMBING,,0,742.570000,130.180000,596.060000,128.620000,594.450000,2.660000,742.570000,-0.450000
17B-CORNERS-COLD-1,17,CORN,B,COLD,1,8,741.130000,741.670000,594.620000,740.120000,593.010000,614.150000,741.130000,611.040000
2C-SOC-SLIDING,2,SOC,C,SLIDING,,0,297.060000,282.820000,150.550000,281.260000,148.940000,155.290000,297.060000,152.180000
30C-CORNERS-BABY,30,CORN,C,BABY,,0,148.310000,275.950000,1.800000,274.400000,0.190000,148.430000,148.310000,145.320000
14C-SOC-BOY,14,SOC,C,BOY,,0,145.060000,443.820000,-1.450000,442.260000,-3.060000,316.290000,145.060000,313.180000
27C-SOC-GIRL,27,SOC,C,GIRL,,0,149.060000,604.820000,2.550000,603.260000,0.940000,477.290000,149.060000,474.180000
4C-WIDE-CLIMBING-T,4,WIDE,D,CLIMBING,T,32,339.320000,327.320000,192.810000,325.760000,191.200000,199.790000,339.320000,196.680000
10C-CORNERS-COLD,10,CORN,C,COLD,,0,745.270000,739.450000,598.760000,737.900000,597.150000,611.930000,745.270000,608.820000
24C-SOC-HOT,24,SOC,C,HOT,,0,592.060000,446.820000,445.550000,445.260000,443.940000,319.290000,592.060000,316.180000
16C-SOC-CLIMBING,16,SOC,C,CLIMBING,,0,298.060000,128.820000,151.550000,127.260000,149.940000,1.290000,298.060000,-1.820000
8B-WIDE-GIRL-2,8,WIDE,B,GIRL,2,0,145.290000,127.560000,-1.220000,126.010000,-2.830000,0.040000,145.290000,-3.070000
20A-CLOCK-THROWING,20,CLOC,A,THROWING,,11,542.530000,124.370000,396.020000,122.810000,394.410000,-3.160000,542.530000,-6.270000
31C-WIDE-THROWING,31,WIDE,C,THROWING,,0,351.780000,533.560000,205.270000,532.000000,203.660000,406.040000,351.780000,402.920000
23C-CORNERS-THROWING,23,CORN,C,THROWING,,0,590.860000,273.230000,444.350000,271.670000,442.740000,145.700000,590.860000,142.590000
32A-WIDE-ME,32,WIDE,A,ME,,32,146.480000,743.390000,-0.030000,741.830000,-1.640000,615.870000,146.480000,612.760000
12B-CLOCK-SWING-2,12,CLOC,B,SWING,2,0,796.270000,509.200000,649.760000,507.650000,648.150000,381.680000,796.270000,378.570000
20C-CLOCK-HAPPY,20,CLOC,C,HAPPY,,0,401.190000,780.850000,254.680000,779.300000,253.070000,653.330000,401.190000,650.220000
3C-CLOCK-BABY,3,CLOC,C,BABY,,0,149.240000,384.860000,2.730000,383.300000,1.120000,257.340000,149.240000,254.230000
32C-WIDE-COLD,32,WIDE,C,COLD,,0,734.260000,739.530000,587.750000,737.980000,586.140000,612.010000,734.260000,608.900000
2C-SOC-CLIMBING,2,SOC,C,CLIMBING,,9,298.060000,128.820000,151.550000,127.260000,149.940000,1.290000,298.060000,-1.820000
27C-SOC-SWINGING,27,SOC,C,SWINGING,,0,300.560000,444.320000,154.050000,442.760000,152.440000,316.790000,300.560000,313.680000
28A-CORNERS-GIRL,28,CORN,A,GIRL,,32,146.700000,128.760000,0.190000,127.210000,-1.420000,1.240000,146.700000,-1.870000
26C-WIDE-GIRL,26,WIDE,C,GIRL,,0,146.200000,128.240000,-0.310000,126.680000,-1.920000,0.710000,146.200000,-2.400000
9C-CLOCK-SLIDE,9,CLOC,C,SLIDE,,0,793.160000,252.990000,646.650000,251.430000,645.040000,125.470000,793.160000,122.360000
28B-CORNERS-ME-1,28,CORN,B,ME,1,0,296.080000,128.840000,149.570000,127.290000,147.960000,1.320000,296.080000,-1.790000
8C-WIDE-SAD,8,WIDE,C,SAD,,0,735.460000,331.080000,588.940000,329.520000,587.330000,203.550000,735.460000,200.440000
